209,189,770.7493501,28608,0.605161132,0.048157193,102.2560123,99,241.5425933,15.54164062,5.825236331,28.97322334,0.938629521,0.001862567,0.388225188,168.7750979,168,138.6700101,11.77582312,5.56975585,13.7599189,0.950381101,0.001962134,0.391699302,111.9780131,113,63.43157864,7.96439443,5.018350289,11.20970392,0.910975649,0.003718456,0.435141867,1
207,235,790.9919908,33529,0.673420438,0.053589096,101.8622983,99,227.8754841,15.09554517,5.813826926,19.59421976,0.956107813,0.001781594,0.376301546,171.6130216,171,133.2488056,11.54334465,5.543431066,13.94702935,0.94765957,0.001998641,0.387066459,110.8174416,112,71.51293129,8.456531871,5.091912731,10.68223574,0.924965226,0.003514895,0.434229209,1
156,211,686.2396821,24425,0.65176762,0.051866019,97.18321392,94,162.5866,12.75094506,5.467810464,14.75442188,0.953895872,0.003357223,0.440803391,166.2155988,164,165.3948025,12.86059106,5.655997783,10.24148379,0.969035824,0.002409763,0.422999159,113.5153327,115,51.8691659,7.202025125,4.795399837,5.456313462,0.947290246,0.006662213,0.513888456,1
202,191,713.1513703,28144,0.695396089,0.055337863,102.4611285,99,291.867515,17.0841305,5.911826434,20.26592758,0.964364267,0.002013871,0.401799167,168.3288445,167,184.2484292,13.5738141,5.734740595,11.85271648,0.96783101,0.002052415,0.415526986,112.3135304,113,77.14207468,8.783056113,5.123485772,6.594677184,0.956838936,0.00490929,0.49753773,1
222,173,796.9919908,28312,0.560108934,0.044572053,109.5750565,108,154.8300132,12.44307089,5.559339882,18.2710254,0.939173331,0.00260409,0.427756886,163.8927663,163,138.3533764,11.76237121,5.546882166,11.81999929,0.957280274,0.002189107,0.406644824,114.3817463,115,60.34933724,7.768483587,4.963283603,8.239094345,0.930986853,0.004498772,0.461105984,1
195,178,696.3818177,26407,0.684280372,0.054453302,104.498277,100,342.5091143,18.50700176,6.02709086,22.28546542,0.966633961,0.001672828,0.38653478,169.200818,168,169.991368,13.03807378,5.723058934,14.26584867,0.95803224,0.001847522,0.396861791,110.6682698,112,76.32417039,8.73637055,5.124975564,8.28656366,0.94544624,0.004001372,0.46402947,1
205,232,901.175757,30558,0.472841722,0.037627549,98.00510505,94,312.9149852,17.68940319,5.714190733,42.4409137,0.930942959,0.002569955,0.406804886,167.1987368,166,137.0376696,11.70630897,5.556907602,11.80973263,0.956905054,0.002298449,0.406771895,115.0449637,116,73.77249795,8.5890918,5.077308202,9.157279838,0.936199709,0.004771893,0.46711064,1
268,255,1147.1829,51190,0.488798275,0.038897331,124.1737449,122,304.6758623,17.45496669,6.060653785,17.98509445,0.969170868,0.001745379,0.398140031,165.6564563,166,215.8457958,14.69169139,5.895548002,10.60899803,0.975416941,0.001735586,0.417255274,114.9303966,114,119.1180723,10.91412261,5.420580669,5.926253687,0.974040529,0.004170602,0.517267996,1
204,224,846.5067094,35174,0.616837565,0.049086374,116.3981066,114,254.2869904,15.9463786,5.959413385,20.14616325,0.958699294,0.001456785,0.362872642,173.3836072,174,116.9901057,10.81619645,5.473960915,11.77255281,0.949677215,0.002363703,0.409231791,108.1958549,108,52.83608892,7.268843713,4.905242771,10.40525403,0.901194986,0.004000308,0.432064793,1
212,183,719.1097398,29715,0.722096528,0.057462616,123.7217903,123,227.0482278,15.06811958,5.925812484,18.07393821,0.958057785,0.001654262,0.383576595,174.7617701,176,116.1304628,10.77638449,5.449778042,11.86006596,0.948919568,0.002728466,0.425849619,106.3027764,106,43.02735818,6.559524234,4.752558605,6.243656189,0.927415624,0.005407922,0.486413267,1
187,208,721.0092347,29582,0.715081829,0.056904404,122.3065716,121,272.5468612,16.50899334,6.037163152,26.01487441,0.950003337,0.001361621,0.359030115,176.5609492,177,130.0785507,11.40519841,5.532578413,12.56073155,0.95170197,0.002501221,0.425364006,105.2839565,105,47.80496825,6.914113699,4.834139281,7.098035901,0.925717108,0.005051688,0.47378686,1
